2.8594 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
12.1258 	EXP 	window1: blendMode = 'avg'
12.1422 	EXP 	window1: blendMode = 'avg'
12.1589 	EXP 	window1: blendMode = 'avg'
12.1758 	EXP 	window1: blendMode = 'avg'
12.1922 	DATA 	Keypress: space
12.1932 	EXP 	window1: blendMode = 'avg'
12.2093 	EXP 	Instr2Text: autoDraw = False
12.2093 	EXP 	Instr2Text: autoDraw = False
12.2093 	EXP 	Instr3Text: autoDraw = True
12.2098 	EXP 	window1: blendMode = 'avg'
12.2262 	EXP 	window1: blendMode = 'avg'
12.2427 	EXP 	window1: blendMode = 'avg'
12.2590 	EXP 	window1: blendMode = 'avg'
12.2757 	EXP 	window1: blendMode = 'avg'
12.2922 	EXP 	window1: blendMode = 'avg'
12.3097 	EXP 	window1: blendMode = 'avg'
12.3260 	EXP 	window1: blendMode = 'avg'
12.3423 	EXP 	window1: blendMode = 'avg'
12.3590 	EXP 	window1: blendMode = 'avg'
12.3759 	EXP 	window1: blendMode = 'avg'
12.3923 	EXP 	window1: blendMode = 'avg'
12.4094 	EXP 	window1: blendMode = 'avg'
12.4258 	EXP 	window1: blendMode = 'avg'
12.4423 	EXP 	window1: blendMode = 'avg'
12.4590 	EXP 	window1: blendMode = 'avg'
12.4755 	EXP 	window1: blendMode = 'avg'
12.4924 	EXP 	window1: blendMode = 'avg'
12.5093 	EXP 	window1: blendMode = 'avg'
12.5257 	EXP 	window1: blendMode = 'avg'
12.5423 	EXP 	window1: blendMode = 'avg'
12.5589 	EXP 	window1: blendMode = 'avg'
12.5760 	EXP 	window1: blendMode = 'avg'
12.5920 	EXP 	window1: blendMode = 'avg'
12.6097 	EXP 	window1: blendMode = 'avg'
12.6269 	EXP 	window1: blendMode = 'avg'
12.6438 	EXP 	window1: blendMode = 'avg'
12.6610 	EXP 	window1: blendMode = 'avg'
12.6777 	EXP 	window1: blendMode = 'avg'
12.7056 	EXP 	window1: blendMode = 'avg'
12.7260 	EXP 	window1: blendMode = 'avg'
12.7424 	EXP 	window1: blendMode = 'avg'
12.7590 	EXP 	window1: blendMode = 'avg'
12.7755 	EXP 	window1: blendMode = 'avg'
12.7920 	EXP 	window1: blendMode = 'avg'
12.8094 	EXP 	window1: blendMode = 'avg'
12.8258 	EXP 	window1: blendMode = 'avg'
12.8423 	EXP 	window1: blendMode = 'avg'
12.8588 	EXP 	window1: blendMode = 'avg'
12.8758 	EXP 	window1: blendMode = 'avg'
12.8922 	EXP 	window1: blendMode = 'avg'
12.9095 	EXP 	window1: blendMode = 'avg'
12.9259 	EXP 	window1: blendMode = 'avg'
12.9423 	EXP 	window1: blendMode = 'avg'
12.9591 	EXP 	window1: blendMode = 'avg'
12.9756 	DATA 	Keypress: space
12.9821 	EXP 	Imported demo.xls as conditions, 2 conditions, 2 params
12.9824 	EXP 	Created sequence: sequential, trialTypes=2, nReps=1, seed=None
12.9828 	EXP 	New trial (rep=0, index=0): {'corrResp': 1, 'xpos': -0.25}
12.9978 	EXP 	window1: blendMode = 'avg'
12.9989 	EXP 	window1: blendMode = 'avg'
13.0118 	EXP 	Instr3Text: autoDraw = False
13.0118 	EXP 	Instr3Text: autoDraw = False
13.0118 	EXP 	stim: pos = array([-0.25,  0.  ])
13.0118 	EXP 	stim: image = 'TessImages/1.jpg'
13.0118 	EXP 	answerprompt: text = 'Press 1'
13.0118 	EXP 	Fixation: autoDraw = True
13.0118 	EXP 	stim: autoDraw = True
13.0118 	EXP 	answerprompt: autoDraw = True
13.0124 	EXP 	window1: blendMode = 'avg'
13.0127 	EXP 	window1: blendMode = 'avg'
13.0389 	EXP 	window1: blendMode = 'avg'
13.0392 	EXP 	window1: blendMode = 'avg'
13.0594 	EXP 	window1: blendMode = 'avg'
13.0597 	EXP 	window1: blendMode = 'avg'
13.0760 	EXP 	window1: blendMode = 'avg'
13.0763 	EXP 	window1: blendMode = 'avg'
13.0924 	EXP 	window1: blendMode = 'avg'
13.0928 	EXP 	window1: blendMode = 'avg'
13.1094 	EXP 	window1: blendMode = 'avg'
13.1096 	EXP 	window1: blendMode = 'avg'
